claimId,needId,claimerName,claimerPhone,claimerEmail,claimedQuantity,estimatedDelivery,availableTimeSlots,qualifications,notes,claimedAt,status
C001,N001,王小明,0912-345-678,wang@example.com,50,2024-10-10,,,自有白米庫存，可立即送達,2024-10-07 10:30:00,active
C002,N001,陳大華,0923-456-789,chen@example.com,30,2024-10-11,,,已聯繫米商，預計明天可送達,2024-10-07 14:20:00,active
C003,N002,李美玲,0934-567-890,li@example.com,100,2024-10-09,,,家樂福採購瓶裝水，今晚送達,2024-10-07 16:45:00,active
C004,N002,張志明,0945-678-901,zhang@example.com,50,2024-10-10,,,公司庫存礦泉水可提供,2024-10-08 09:15:00,active
C005,N003,林大雄,0956-789-012,lin@example.com,1,,2024-10-15 08:00-17:00,無,有搬運經驗，可配合全天,2024-10-07 11:00:00,active
C006,N003,黃小芬,0967-890-123,huang@example.com,1,,2024-10-15 08:00-12:00,無,只能上午參加,2024-10-08 08:30:00,active
C007,N004,仁愛醫院,03-8462141,hospital@example.com,15,2024-10-12,,,醫院可提供完整急救箱,2024-10-08 10:00:00,active
C008,N005,劉雅婷,0978-901-234,liu@example.com,1,,2024-10-15 至 2024-10-17 每日 08:00-20:00,護理師執照（5年經驗）,可支援三天,2024-10-08 13:20:00,active
C009,N007,富山工程行,03-8551234,engineering@example.com,1,,2024-10-13 至 2024-10-15 全天,挖土機操作證照,提供挖土機與專業操作員,2024-10-08 15:40:00,active
C010,N009,吳心理師,0989-012-345,wu@example.com,2,,2024-10-12 至 2024-10-14,臨床心理師執照,可安排三天全天服務,2024-10-08 16:50:00,active
C011,N011,順發貨運,03-8334455,transport@example.com,1,,每日 08:00-18:00（一週）,職業駕照、山區道路經驗,3.5噸貨車，可配合長期支援,2024-10-08 17:30:00,active
C012,N011,宏達物流,03-8445566,logistics@example.com,1,,每日 08:00-18:00（一週）,職業駕照,5噸貨車可用,2024-10-08 18:00:00,active
C013,N016,統一超商,03-8831234,store@example.com,80,2024-10-12,,,泡麵庫存可立即調度,2024-10-09 11:20:00,active
C014,N016,全家便利商店,03-8831567,family@example.com,60,2024-10-13,,,罐頭食品與泡麵可提供,2024-10-09 14:30:00,active
C015,N016,家樂福富里店,03-8831890,carrefour@example.com,40,2024-10-12,,,即食食品支援,2024-10-09 16:00:00,active
C016,N017,興旺五金行,03-8882456,hardware@example.com,5,2024-10-11,,,店內儲水桶庫存,2024-10-09 12:00:00,active
C017,N017,玉里農會,03-8882789,farmers@example.com,3,2024-10-12,,,農會可提供大型水桶,2024-10-10 09:30:00,active
C018,N018,紅葉國中,03-8871567,school@example.com,3,,2024-10-16 09:00-16:00,無,學生志工隊願意協助,2024-10-09 15:00:00,active
C019,N018,瑞穗慈濟宮,03-8871890,temple@example.com,3,,2024-10-16 09:00-16:00,無,宮廟志工團支援,2024-10-10 10:00:00,active
C020,N020,陳志強醫師,0912-876-543,chen-doctor@example.com,1,,2024-10-14 至 2024-10-16 日間輪班,內科專科醫師,可支援三天,2024-10-09 17:00:00,active
C021,N021,花蓮縣二手衣物銀行,03-8227890,clothes-bank@example.com,25,2024-10-13,,,整理過的兒童衣物,2024-10-09 18:00:00,active
C022,N021,慈濟基金會,03-8561825,tzuchi-cloth@example.com,10,2024-10-14,,,全新兒童外套,2024-10-10 08:00:00,active
C023,N023,寶雅生活館,03-8701567,store-care@example.com,15,2024-10-12,,,盥洗用品組合包,2024-10-10 11:00:00,active
C024,N023,康是美藥妝,03-8701890,cosmed@example.com,10,2024-10-13,,,個人清潔用品,2024-10-10 14:00:00,active
C025,N024,阮氏紅,0923-567-890,nguyen@example.com,1,,彈性時段,越南語母語、中文流利,願意協助同鄉,2024-10-10 15:30:00,active
C026,N026,桂格公司,02-27001234,quaker@example.com,15,2024-10-13,,,公司捐贈營養奶粉,2024-10-10 16:00:00,active
C027,N028,小米台灣,02-66057799,mi-taiwan@example.com,10,2024-10-13,,,公司捐贈行動電源,2024-10-10 17:00:00,active
C028,N028,華碩電腦,02-28943447,asus@example.com,8,2024-10-14,,,企業社會責任捐贈,2024-10-10 18:00:00,active
C029,N029,李建國獸醫師,0934-789-012,li-vet@example.com,1,,2024-10-15 至 2024-10-17 10:00-17:00,獸醫師執照（10年經驗）,可支援三天,2024-10-10 19:00:00,active
C030,N030,全國電子,03-8841567,electronics@example.com,20,2024-10-13,,,LED手電筒與電池,2024-10-10 20:00:00,active
C031,N030,燦坤3C,03-8841890,tkec@example.com,10,2024-10-14,,,照明設備支援,2024-10-11 09:00:00,active
C032,N031,王大廚,0945-123-456,wang-chef@example.com,1,,每日 06:00-09:00 與 17:00-20:00,20年餐廳經驗,可連續服務一週,2024-10-10 21:00:00,active
C033,N031,林美味,0956-234-567,lin-chef@example.com,1,,每日 06:00-09:00 與 17:00-20:00,自助餐廳老闆,願意協助備餐,2024-10-11 08:00:00,active
C034,N033,池上便當本舖,089-862326,bento@example.com,50,2024-10-13,,,便當供應支援,2024-10-11 10:00:00,active
C035,N033,悟饕池上飯包,089-862088,wutao@example.com,30,2024-10-14,,,提供便當給救災人員,2024-10-11 11:00:00,active
C036,N034,金順機車行,03-8701678,motor@example.com,1,,2024-10-16 至 2024-10-17 10:00-18:00,15年維修經驗,可支援兩天,2024-10-11 13:00:00,active
C037,N035,特力屋光復店,03-8701789,testritemart@example.com,30,2024-10-13,,,雨衣雨鞋庫存,2024-10-11 14:00:00,active
C038,N035,農友種苗公司,06-2684367,seed@example.com,10,2024-10-14,,,農用雨衣支援,2024-10-11 15:00:00,active
C039,N036,建成帆布行,03-8701890,canvas@example.com,15,2024-10-13,,,防水帆布現貨,2024-10-11 16:00:00,active
C040,N036,中華帆布,02-23816457,sail@example.com,7,2024-10-14,,,加厚防水布,2024-10-11 17:00:00,active
C041,N038,台灣世界展望會,02-25585585,worldvision@example.com,200000,2024-10-15,,,急難救助專款,2024-10-11 18:00:00,active
C042,N038,中華民國紅十字會,02-23628232,redcross-tw@example.com,150000,2024-10-16,,,災害救助金,2024-10-11 19:00:00,active
C043,N038,慈濟基金會,02-28989000,tzuchi-fund@example.com,100000,2024-10-15,,,急難救助捐款,2024-10-11 20:00:00,active
C044,N039,張律師事務所,03-8225789,chang-law@example.com,1,,週末 13:00-17:00,律師證照（保險理賠專長）,可服務三次,2024-10-11 21:00:00,active
C045,N039,李律師,03-8225890,li-law@example.com,1,,週末 13:00-17:00,律師證照（不動產專長）,可服務兩次,2024-10-11 22:00:00,active
C046,N014,愛惠浦淨水,02-27178080,everpure@example.com,2,2024-10-12,,,淨水器捐贈,2024-10-09 19:00:00,active
C047,N014,3M台灣,02-27047099,3m-taiwan@example.com,1,2024-10-13,,,企業捐贈淨水設備,2024-10-09 20:00:00,active
C048,N008,美強生,0800-008-828,mead@example.com,20,2024-10-11,,,嬰兒奶粉支援,2024-10-08 21:00:00,active
C049,N008,亞培,0800-221-155,abbott@example.com,20,2024-10-12,,,奶粉與嬰兒用品,2024-10-08 22:00:00,active
C050,N012,迪卡儂,02-27221-198,decathlon@example.com,10,2024-10-11,,,露營帳篷與睡袋,2024-10-08 23:00:00,active
C051,N012,好市多,02-26976789,costco@example.com,8,2024-10-12,,,帳篷組合包,2024-10-09 08:00:00,active
C052,N009,王雅文心理師,0912-345-678,wang-psy@example.com,1,,2024-10-12 至 2024-10-14,臨床心理師（8年經驗）,可全天服務,2024-10-08 18:00:00,active

